,title,artist,peakPos,lastPos,weeks,rank,isNew,date,track_uri
63618,The Show Goes On,Lupe Fiasco,9,16,30,22,False,2011-08-04,spotify:track:4NTWZqvfQTlOMitlVn6tew
63619,Just A Kiss,Lady Antebellum,7,24,12,23,False,2011-08-04,spotify:track:2OXidlnDThZR3zf36k6DVL
63620,Honey Bee,Blake Shelton,13,21,16,24,False,2011-08-04,spotify:track:0gY2iq0xJPRoIB1PScKSw4
63621,On The Floor,Jennifer Lopez Featuring Pitbull,3,26,22,25,False,2011-08-04,spotify:track:0w3Q14i073jLoew1hgJkwD
63697,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,1,4,10,1,False,2011-09-04,spotify:track:7LcfRTgAVTs5pQGEQgUEzN
63698,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,1,2,23,2,False,2011-09-04,spotify:track:0IkKz2J93C94Ei4BvDop7P
63699,Pumped Up Kicks,Foster The People,3,7,18,3,False,2011-09-04,spotify:track:7w87IxuO7BDcJ3YUqCyMTT
63700,Lighters,Bad Meets Evil Featuring Bruno Mars,4,6,11,4,False,2011-09-04,spotify:track:5zpDHEU12zATwLGvozxPw2
63701,Last Friday Night (T.G.I.F.),Katy Perry,1,1,14,5,False,2011-09-04,spotify:track:3avYqdwHKEq8beXbeWCKqJ
63702,Super Bass,Nicki Minaj,3,5,18,6,False,2011-09-04,spotify:track:3hlksXnvbKogFdPbpO9vel
63703,How To Love,Lil Wayne,5,8,14,7,False,2011-09-04,spotify:track:5W7BcYDIaeXnpG3e39T7hJ
63704,Good Life,OneRepublic,8,9,22,8,False,2011-09-04,spotify:track:6OtCIsQZ64Vs1EbzztvAv4
63705,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",1,11,22,9,False,2011-09-04,spotify:track:1IJYb2qBTHMoDzHgsuA86H
63706,Stereo Hearts,Gym Class Heroes Featuring Adam Levine,10,15,11,10,False,2011-09-04,spotify:track:0qOnSQQF0yzuPWsXrQ9paz
63707,Cheers (Drink To That),Rihanna,11,17,5,11,False,2011-09-04,spotify:track:46MDLc0Yip6xCMSsdePOAU
63708,I Wanna Go,Britney Spears,7,10,12,12,False,2011-09-04,spotify:track:5cCAZS9VhLGEDV4NCfieeg
63709,Tonight Tonight,Hot Chelle Rae,7,12,20,13,False,2011-09-04,spotify:track:2i0AUcEnsDm3dsqLrFWUCq
63710,Rolling In The Deep,Adele,1,13,34,14,False,2011-09-04,spotify:track:1c8gk2PeTE04A1pIDH9YMk
63711,If I Die Young,The Band Perry,14,14,40,15,False,2011-09-04,spotify:track:4u26EevCNXMhlvE1xFBJwX
63712,You And I,Lady Gaga,16,35,4,16,False,2011-09-04,spotify:track:6rkAY9rk1NTFB94QxG3LJR
63713,She Will,Lil Wayne Featuring Drake,3,3,2,17,False,2011-09-04,spotify:track:0b4M7hd7mzLTm99MrMeZsp
63714,You Make Me Feel...,Cobra Starship Featuring Sabi,18,19,7,18,False,2011-09-04,spotify:track:16Of7eeW44kt0a1M0nitHM
63715,Someone Like You,Adele,19,34,8,19,False,2011-09-04,spotify:track:1zwMYTA5nlNjZxYrvBB2pV
63716,I'm On One,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",10,18,15,20,False,2011-09-04,spotify:track:7EHOorGNbnzDGmJDFVOhcJ
63717,The Edge Of Glory,Lady Gaga,3,16,16,21,False,2011-09-04,spotify:track:5bdE4ddN4lknkXmvegBf2k
63718,Remind Me,Brad Paisley Duet With Carrie Underwood,17,20,12,22,False,2011-09-04,spotify:track:0gmbgwZ8iqyMPmXefof8Yf
63719,Motivation,Kelly Rowland Featuring Lil Wayne,17,23,20,23,False,2011-09-04,spotify:track:0rIAC4PXANcKmitJfoqmVm
63720,Barefoot Blue Jean Night,Jake Owen,24,26,18,24,False,2011-09-04,spotify:track:3ts6xK5GzfMAAriT9AIBmP
63721,Otis,Jay Z Kanye West Featuring Otis Redding,12,27,6,25,False,2011-09-04,spotify:track:6vegnfDS8DAEaCqWaPYGPy
63797,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,1,1,14,1,False,2011-10-04,spotify:track:7LcfRTgAVTs5pQGEQgUEzN
63798,Someone Like You,Adele,1,2,12,2,False,2011-10-04,spotify:track:1zwMYTA5nlNjZxYrvBB2pV
